[2026-05-25 03:12:35] [INFO    ] discord.client: logging in using static token
[2026-05-25 03:12:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': "Vampire's Bot", 'primary_guild': None, 'mfa_enabled': True, 'id': '1507344723134906378', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6313', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '9cc3a80d92d107621a334b385deea59a', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '898658465545879564'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'hongkong', 'dubai', 'singapore', 'jakarta'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1507344723134906378', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-3jdm",{"micros":589467,"calls":["id_created",{"micros":437,"calls":[]},"session_lookup_time",{"micros":317,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"sessions-prd-gcp-us-east1-d-43",{"micros":587774,"calls":["start_session",{"micros":567139,"calls":["prd-rpc-5fd88d9dd5-8gqjz",{"micros":147794,"calls":["get_user",{"micros":12021},"get_guilds",{"micros":23725},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":12},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":1702},"apex_experiments",{"micros":399543},"sessions_experiments",{"micros":7},"played_application_ids",{"micros":5},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":11213,"calls":[]},"guilds_started",{"micros":108,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":9257,"calls":[]},"connect_finished",{"micros":9271,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-05-25 03:12:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-25 03:12:38] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 9cc3a80d92d107621a334b385deea59a).
[2026-05-25 03:12:38] [DEBUG   ] discord.client: Dispatching event connect
[2026-05-25 03:12:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'emojis': [], 'system_channel_id': None, 'application_id': None, 'home_header': None, 'profile': None, 'voice_states': [], 'inventory_settings': None, 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '898658466061762600', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '898658466061762601', 'flags': 0}, {'version': 1675704907744, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': 'hongkong', 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '898658466061762601', 'name': 'General', 'last_message_id': '1080557200868651119', 'id': '898658466061762603', 'flags': 0, 'bitrate': 64000}, {'version': 1675855554441, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '898658466061762601', 'name': 'Music', 'last_message_id': None, 'id': '1072839633655836702', 'flags': 0, 'bitrate': 96000}, {'version': 1677695389580, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '898658466061762600', 'name': 'music-bot-commands', 'last_message_id': '1399884478532423701', 'id': '1072841446429831219', 'flags': 0}, {'version': 1694795140960, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '898658466061762600', 'name': 'general-text-messages', 'last_message_id': '1157649476140408863', 'id': '1152278841268633630', 'flags': 0}, {'version': 1715865155602, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '898658466061762600', 'name': 'bots', 'last_message_id': '1508223636342046911', 'id': '1240653126504288328', 'flags': 0}], 'moderator_reporting': None, 'official_message_color': None, 'id': '898658465545879564', 'vanity_url_code': None, 'owner_configured_content_level': 0, 'region': 'deprecated', 'premium_tier': 0, 'name': "⚒MRvคmթire's server", 'preferred_locale': 'en-US', 'embedded_activities': [], 'owner_id': '594437805430538320', 'explicit_content_filter': 0, 'max_video_channel_users': 25, 'incidents_data': None, 'banner': None, 'unavailable': False, 'default_message_notifications': 0, 'threads': [], 'stickers': [], 'premium_progress_bar_enabled_user_updated_at': None, 'icon': 'bcc7f031a498fcd6cb8899222c1a5d13', 'premium_progress_bar_enabled': False, 'latest_onboarding_question_id': None, 'description': None, 'experiments': {'evaluation_id': None, 'assignments': []}, 'premium_subscription_count': 0, 'mfa_level': 0, 'hub_type': None, 'presences': [], 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '898658465545879564', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1779657383949, 'unicode_emoji': None, 'tags': {}, 'position': 8, 'permissions': '1071698660929', 'name': '#chutiyashree', 'mentionable': False, 'managed': False, 'id': '1030811454594621501', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3066993}, 'color': 3066993}, {'version': 1779657383947, 'unicode_emoji': None, 'tags': {}, 'position': 7, 'permissions': '27483495202811', 'name': 'daddy001', 'mentionable': False, 'managed': False, 'id': '1072893375679828028', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1779657383944, 'unicode_emoji': None, 'tags': {'premium_subscriber': None}, 'position': 6, 'permissions': '1071698660929', 'name': 'Server Booster', 'mentionable': False, 'managed': True, 'id': '1072895228966600775', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': 11816191, 'primary_color': 16023551}, 'color': 16023551}, {'version': 1779657383942, 'unicode_emoji': None, 'tags': {'bot_id': '411916947773587456'}, 'position': 5, 'permissions': '8', 'name': 'Jockie Music', 'mentionable': False, 'managed': True, 'id': '1072900490511261820', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1779657383939, 'unicode_emoji': None, 'tags': {'bot_id': '646937666251915264'}, 'position': 4, 'permissions': '379969', 'name': 'Karuta', 'mentionable': False, 'managed': True, 'id': '1240652387320991876', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1779657383936, 'unicode_emoji': None, 'tags': {'bot_id': '853629533855809596'}, 'position': 3, 'permissions': '446676978785', 'name': 'Sofi', 'mentionable': False, 'managed': True, 'id': '1240652914792464427', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1779657383930, 'unicode_emoji': None, 'tags': {'bot_id': '1507344723134906378'}, 'position': 2, 'permissions': '2885410837818432', 'name': "Vampire's Bot", 'mentionable': False, 'managed': True, 'id': '1507346207419273239', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1779657384407, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Sherrr', 'mentionable': False, 'managed': False, 'id': '1508216819087966218', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'max_members': 25000000, 'game_application_ids': None, 'verification_level': 0, 'rules_channel_id': None, 'afk_timeout': 300, 'members': [{'user': {'username': "Vampire's Bot", 'public_flags': 0, 'primary_guild': None, 'id': '1507344723134906378', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6313', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1507346207419273239'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-22T11:35:41.078000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'features': ['SOUNDBOARD'], 'joined_at': '2026-05-22T11:35:41.078000+00:00', 'soundboard_sounds': [], 'public_updates_channel_id': None, 'nsfw': False, 'verification_role_id': None, 'theme': None, 'member_count': 6, 'stage_instances': [], 'nsfw_level': 0, 'application_command_counts': {}, 'lazy': True, 'premium_features': None, 'activity_instances': [], 'large': False, 'guild_scheduled_events': [], 'version': 1779453841681, 'splash': None, 'safety_alerts_channel_id': None, 'system_channel_flags': 0, 'max_stage_video_channel_users': 50, 'discovery_splash': None, 'afk_channel_id': None}}
[2026-05-25 03:12:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-25 03:12:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'a9e5b966008a56b638fd3a9dcd6ecd6a', 'members': [{'user': {'username': 'Jockie Music', 'public_flags': 65536, 'primary_guild': None, 'id': '411916947773587456', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8158', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '082499e32ffd0549455ef9786fe6ed03'}, 'roles': ['1072900490511261820'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-02-08T15:23:30.652000+00:00', 'flags': 0, 'deaf': True, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'mrvampire22', 'public_flags': 0, 'primary_guild': {'tag': 'cary', 'identity_guild_id': '457888455700119552', 'identity_enabled': True, 'badge': '20900bf7e5ba496b08f11fb116cb299f'}, 'id': '594437805430538320', 'global_name': 'MrVampire', 'display_name_styles': None, 'display_name': 'MrVampire', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1498719106642219108', 'expires_at': 1783666799, 'asset': 'a_16c37062979f43db8074d72792890f50'}, 'avatar': 'b56f0c36c7121ddf131e380d4ff37112'}, 'roles': ['1508216819087966218'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-10-15T19:47:54.552000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Karuta', 'public_flags': 65536, 'primary_guild': None, 'id': '646937666251915264', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1280', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '0e54d87446f106d1fd58385295ae9deb'}, 'roles': ['1240652387320991876'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-16T13:09:39.389000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'SOFI', 'public_flags': 65536, 'primary_guild': None, 'id': '853629533855809596', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5472', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a_4e9b12420d607a91fe65c3f7a035398f'}, 'roles': ['1240652914792464427'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-16T13:11:45.162000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'shreyapatel._55894', 'public_flags': 0, 'primary_guild': None, 'id': '1153624156655595550', 'global_name': 'Shreya patel', 'display_name_styles': None, 'display_name': 'Shreya patel', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '8569adcbd36c70a7578c017bf5604ea5'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-09-19T09:38:25.724000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': "Vampire's Bot", 'public_flags': 0, 'primary_guild': None, 'id': '1507344723134906378', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6313', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1507346207419273239'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-22T11:35:41.078000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '898658465545879564', 'chunk_index': 0, 'chunk_count': 1}}
[2026-05-25 03:12:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-25 03:12:38] [DEBUG   ] discord.state: Processed a chunk for 6 members in guild ID 898658465545879564.
[2026-05-25 03:12:40] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-05-25 03:12:40] [DEBUG   ] discord.client: Dispatching event ready
[2026-05-25 03:12:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '594437805430538320', 'timestamp': 1779658964, 'member': {'user': {'username': 'mrvampire22', 'public_flags': 0, 'primary_guild': {'tag': 'cary', 'identity_guild_id': '457888455700119552', 'identity_enabled': True, 'badge': '20900bf7e5ba496b08f11fb116cb299f'}, 'id': '594437805430538320', 'global_name': 'MrVampire', 'display_name_styles': None, 'display_name': 'MrVampire', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1498719106642219108', 'expires_at': 1783666799, 'asset': 'a_16c37062979f43db8074d72792890f50'}, 'avatar': 'b56f0c36c7121ddf131e380d4ff37112'}, 'roles': ['1508216819087966218'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-10-15T19:47:54.552000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1240653126504288328', 'guild_id': '898658465545879564'}}
[2026-05-25 03:12:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-25 03:12:44] [DEBUG   ] discord.client: Dispatching event typing
[2026-05-25 03:12:44] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-05-25 03:12:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-05-24T21:42:49.166000+00:00', 'pinned': False, 'nonce': '1508223775424905216', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1508216819087966218'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-10-15T19:47:54.552000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1508223774007234653', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll is vampire is best', 'components': [], 'channel_type': 0, 'channel_id': '1240653126504288328', 'author': {'username': 'mrvampire22', 'public_flags': 0, 'primary_guild': {'tag': 'cary', 'identity_guild_id': '457888455700119552', 'identity_enabled': True, 'badge': '20900bf7e5ba496b08f11fb116cb299f'}, 'id': '594437805430538320', 'global_name': 'MrVampire', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'cary', 'identity_guild_id': '457888455700119552', 'identity_enabled': True, 'badge': '20900bf7e5ba496b08f11fb116cb299f'}, 'avatar_decoration_data': {'sku_id': '1498719106642219108', 'expires_at': 1783666799, 'asset': 'a_16c37062979f43db8074d72792890f50'}, 'avatar': 'b56f0c36c7121ddf131e380d4ff37112'}, 'attachments': [], 'guild_id': '898658465545879564'}}
[2026-05-25 03:12:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-25 03:12:49] [DEBUG   ] discord.client: Dispatching event message
[2026-05-25 03:12:49] [DEBUG   ] discord.client: Dispatching event command
[2026-05-25 03:12:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-05-24T21:42:49.583000+00:00', 'pinned': False, 'nonce': '16810922148770280148', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1507346207419273239'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-22T11:35:41.078000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1508223775756390571', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Poll!', 'id': '1508223775756390572', 'description': 'is vampire is best', 'content_scan_version': 0, 'color': 3066993}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1240653126504288328', 'author': {'username': "Vampire's Bot", 'public_flags': 0, 'primary_guild': None, 'id': '1507344723134906378', 'global_name': None, 'display_name_styles': None, 'discriminator': '6313', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '898658465545879564'}}
[2026-05-25 03:12:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-25 03:12:50] [DEBUG   ] discord.client: Dispatching event message
[2026-05-25 03:12:50] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1240653126504288328/messages with {"embeds":[{"flags":0,"color":3066993,"type":"rich","description":"is vampire is best","title":"Poll!"}],"content":null,"components":[],"nonce":"16810922148770280148","enforce_nonce":true,"tts":false} has returned 200
[2026-05-25 03:12:50] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-05-25 03:12:50] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1240653126504288328/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Poll!', 'description': 'is vampire is best', 'color': 3066993, 'content_scan_version': 0}], 'timestamp': '2026-05-24T21:42:49.583000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1508223775756390571', 'channel_id': '1240653126504288328', 'author': {'id': '1507344723134906378', 'username': "Vampire's Bot", 'avatar': None, 'discriminator': '6313', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16810922148770280148'}
[2026-05-25 03:12:50] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1240653126504288328/messages/1508223775756390571/reactions/%F0%9F%91%8D/@me with None has returned 204
[2026-05-25 03:12:50] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2026-05-25 03:12:50] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2026-05-25 03:12:50] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1240653126504288328/messages/1508223775756390571/reactions/%F0%9F%91%8D/@me has received 
[2026-05-25 03:12:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 7, 'op': 0, 'd': {'user_id': '1507344723134906378', 'type': 0, 'message_id': '1508223775756390571', 'message_author_id': '1507344723134906378', 'member': {'user': {'username': "Vampire's Bot", 'public_flags': 0, 'primary_guild': None, 'id': '1507344723134906378', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6313', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1507346207419273239'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-22T11:35:41.078000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1240653126504288328', 'burst': False, 'guild_id': '898658465545879564'}}
[2026-05-25 03:12:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-25 03:12:50] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2026-05-25 03:12:50] [DEBUG   ] discord.client: Dispatching event reaction_add
[2026-05-25 03:12:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 8, 'op': 0, 'd': {'user_id': '1507344723134906378', 'type': 0, 'message_id': '1508223775756390571', 'message_author_id': '1507344723134906378', 'member': {'user': {'username': "Vampire's Bot", 'public_flags': 0, 'primary_guild': None, 'id': '1507344723134906378', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6313', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1507346207419273239'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-22T11:35:41.078000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1240653126504288328', 'burst': False, 'guild_id': '898658465545879564'}}
[2026-05-25 03:12:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-25 03:12:51] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2026-05-25 03:12:51] [DEBUG   ] discord.client: Dispatching event reaction_add
[2026-05-25 03:12:51] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1240653126504288328/messages/1508223775756390571/reactions/%F0%9F%91%8E/@me with None has returned 204
[2026-05-25 03:12:51] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2026-05-25 03:12:51] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1240653126504288328/messages/1508223775756390571/reactions/%F0%9F%91%8E/@me has received 
[2026-05-25 03:12:51] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-05-25 03:13:18] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2026-05-25 03:13:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-05-25 03:13:59] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2026-05-25 03:14:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-05-25 03:14:41] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2026-05-25 03:14:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-05-25 03:15:22] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
